敵の種類,弾の種類,移動のパターン,弾のパターン,弾のスピード,出現する時刻,停止時間,弾を発射する時刻,帰還する時刻,x座標,ｙ座標,HP,アイテム
0,0,0,0,4,50,100,101,150,50,-40,1,0
0,0,0,0,4,50,100,101,150,100,-40,1,0
0,0,0,0,4,50,100,101,150,150,-40,1,1
0,0,0,0,4,50,100,101,150,200,-40,1,0
0,0,0,0,4,50,100,101,150,250,-40,1,0
0,0,0,0,4,50,100,101,150,300,-40,1,1
0,0,0,0,4,50,100,101,150,350,-40,1,0
0,1,1,1,4,150,200,101,150,50,-40,1,1
0,1,1,1,4,200,250,251,400,125,-40,1,1
0,1,1,1,4,250,300,301,450,190,-40,1,0
0,1,1,1,4,300,350,351,500,265,-40,1,1
0,1,1,1,4,350,400,401,550,50,-40,1,1
0,1,1,1,4,400,450,451,600,125,-40,1,0
0,1,1,1,4,400,450,451,600,190,-40,1,0
0,1,1,1,4,400,450,451,600,265,-40,1,1
0,2,0,2,4,600,700,701,850,100,-40,1,0
0,2,0,2,4,650,750,751,900,200,-40,1,0
0,2,0,2,4,700,800,801,950,300,-40,1,0
0,2,0,2,4,850,950,951,1100,100,-40,1,0
0,2,0,2,4,850,950,951,1100,100,-40,1,0
0,2,0,2,4,850,950,951,1100,100,-40,1,1
0,2,2,3,4,1150,1250,1251,1400,50,-40,1,0
0,2,2,3,4,1200,1300,1301,1400,150,-40,1,1
0,2,3,3,4,1150,1250,1251,1400,250,-40,1,1
0,2,3,3,4,1200,1300,1301,1400,350,-40,1,1
0,1,1,1,5,1450,1550,1551,1700,80,-40,1,0
0,1,1,1,5,1500,1600,1601,1750,160,-40,1,1
0,1,1,1,5,1550,1650,1651,1800,240,-40,1,0
0,1,1,1,5,1600,1700,1701,1850,320,-40,1,0
0,1,1,3,5,1650,1750,1751,1900,125,-40,1,1
0,1,1,3,5,1650,1750,1751,1900,250,-40,1,0
0,1,1,3,5,1650,1750,1751,1900,375,-40,1,1
