敵の種類,弾の種類,移動のパターン,弾のパターン,弾のスピード,出現する時刻,停止時間,弾を発射する時刻,帰還する時刻,x座標,ｙ座標,HP,アイテム
0,0,0,0,4,80,130,160,200,50,-40,1,0
0,0,0,0,4,100,150,180,220,150,-40,1,0
0,0,0,0,4,120,170,200,240,250,-40,1,0
0,0,0,0,4,140,190,220,260,350,-40,1,1
0,0,0,0,4,260,310,340,380,100,-40,1,0
0,0,0,0,4,280,330,360,400,200,-40,1,0
0,0,0,0,4,300,350,380,420,300,-40,1,0
0,0,1,0,4,480,530,540,590,90,-40,1,0
0,0,1,0,4,510,560,570,620,180,-40,1,1
0,0,1,0,4,540,590,600,650,270,-40,1,0
0,0,1,0,4,570,620,630,680,360,-40,1,0
0,0,1,0,4,600,650,660,710,90,-40,1,0
0,0,1,0,4,630,680,690,740,180,-40,1,0
0,0,1,0,4,660,710,720,770,270,-40,1,0
0,0,1,0,4,690,740,750,800,360,-40,1,0
1,1,0,1,4,930,980,981,1080,50,-40,1,0
1,1,0,1,4,980,1030,1031,1130,125,-40,1,1
1,1,0,1,4,1030,1080,1081,1180,190,-40,1,0
1,1,0,1,4,1080,1130,1131,1230,265,-40,1,0
1,1,0,1,4,1130,1180,1181,1280,340,-40,1,0
1,1,0,1,4,1330,1380,1381,1430,100,-40,1,0
1,1,0,1,4,1330,1380,1381,1430,200,-40,1,0
1,1,0,1,4,1330,1380,1381,1430,300,-40,1,1
1,1,0,1,4,1440,1490,1491,1540,50,-40,1,0
1,1,0,1,4,1440,1490,1491,1540,150,-40,1,0
1,1,0,1,4,1440,1490,1491,1540,250,-40,1,0
1,1,0,1,4,1440,1490,1491,1540,350,-40,1,0
2,2,0,2,4,1550,1600,1601,1650,200,-40,1,0
2,2,0,2,4,1650,1700,1701,1750,100,-40,1,0
2,2,0,2,4,1750,1800,1801,1850,200,-40,1,0
2,2,0,2,4,1850,1900,1901,1950,300,-40,1,0
2,2,1,2,4,1950,2000,2001,2050,100,-40,1,0
2,2,1,2,4,1950,2000,2001,2050,300,-40,1,1
2,2,1,2,4,2000,2050,2051,2100,150,-40,1,0
2,2,1,2,4,2000,2050,2051,2100,250,-40,1,0
2,2,1,2,4,2110,2160,2161,2260,50,-40,1,0
2,2,1,2,4,2110,2160,2161,2260,350,-40,1,0
2,2,1,2,4,2170,2220,2221,2320,120,-40,1,0
2,2,1,2,4,2170,2220,2221,2320,280,-40,1,0
2,2,2,2,4,2350,2400,2401,2500,100,-40,1,0
2,2,3,2,4,2350,2400,2401,2500,300,-40,1,1
2,2,2,2,4,2500,2550,2551,2650,300,-40,1,0
2,2,3,2,4,2500,2550,2551,2650,100,-40,1,0
2,2,2,2,4,2550,2600,2601,2700,100,-40,1,0
2,2,3,2,4,2550,2600,2601,2700,300,-40,1,0
0,0,0,3,4,2850,2900,2901,3000,100,-40,1,1
0,0,0,3,4,2850,2900,2901,3000,300,-40,1,0
0,0,0,3,4,3050,3100,3101,3150,90,-40,1,1
0,0,0,3,4,3050,3100,3101,3150,200,-40,1,0
0,0,0,3,4,3050,3100,3101,3150,310,-40,1,0
1,1,1,3,4,3200,3250,3251,3350,200,-40,1,0
1,1,1,3,4,3350,3400,3401,3500,100,-40,1,1
1,1,1,3,4,3350,3400,3401,3500,300,-40,1,0
1,1,2,3,4,3550,3600,3601,3700,150,-40,1,0
1,1,3,3,4,3550,3600,3601,3700,250,-40,1,0
1,1,2,3,4,3750,3800,3801,3900,100,-40,1,0
1,1,3,3,4,3750,3800,3801,3900,300,-40,1,0
1,1,2,3,4,3950,4000,4001,4100,0,-40,1,1
1,1,3,3,4,3950,4150,4001,4100,400,-40,1,1
0,0,0,0,4,4250,4300,4301,4400,50,-40,1,0
0,0,0,0,4,4300,4350,4351,4450,200,-40,1,0
0,0,0,0,4,4350,4400,4401,4500,350,-40,1,0
1,1,0,1,5,4400,4450,4451,4550,100,-40,1,0
1,1,0,1,5,4450,4500,4501,4600,300,-40,1,0
